Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
"Mon, Feb 3, 2020",7:30p,Boston Celtics,123,Atlanta Hawks,115,"['Box Score', '/boxscores/202002030ATL.html']",,"16,231",
"Mon, Feb 3, 2020",7:30p,Phoenix Suns,97,Brooklyn Nets,119,"['Box Score', '/boxscores/202002030BRK.html']",,"14,891",
"Mon, Feb 3, 2020",7:30p,Philadelphia 76ers,106,Miami Heat,137,"['Box Score', '/boxscores/202002030MIA.html']",,"19,725",
"Mon, Feb 3, 2020",8:00p,Detroit Pistons,82,Memphis Grizzlies,96,"['Box Score', '/boxscores/202002030MEM.html']",,"14,597",
"Mon, Feb 3, 2020",10:00p,Minnesota Timberwolves,109,Sacramento Kings,113,"['Box Score', '/boxscores/202002030SAC.html']",,"15,819",
"Mon, Feb 3, 2020",10:30p,San Antonio Spurs,105,Los Angeles Clippers,108,"['Box Score', '/boxscores/202002030LAC.html']",,"19,068",
"Tue, Feb 4, 2020",7:30p,Milwaukee Bucks,120,New Orleans Pelicans,108,"['Box Score', '/boxscores/202002040NOP.html']",,"15,424",
"Tue, Feb 4, 2020",8:00p,Charlotte Hornets,110,Houston Rockets,125,"['Box Score', '/boxscores/202002040HOU.html']",,"18,055",
"Tue, Feb 4, 2020",9:00p,Portland Trail Blazers,99,Denver Nuggets,127,"['Box Score', '/boxscores/202002040DEN.html']",,"19,520",
"Tue, Feb 4, 2020",10:00p,San Antonio Spurs,102,Los Angeles Lakers,129,"['Box Score', '/boxscores/202002040LAL.html']",,"18,997",
"Wed, Feb 5, 2020",7:00p,Phoenix Suns,108,Detroit Pistons,116,"['Box Score', '/boxscores/202002050DET.html']",,"13,707",
"Wed, Feb 5, 2020",7:30p,Orlando Magic,100,Boston Celtics,116,"['Box Score', '/boxscores/202002050BOS.html']",,"19,156",
"Wed, Feb 5, 2020",7:30p,Golden State Warriors,88,Brooklyn Nets,129,"['Box Score', '/boxscores/202002050BRK.html']",,"14,352",
"Wed, Feb 5, 2020",7:30p,Indiana Pacers,118,Toronto Raptors,119,"['Box Score', '/boxscores/202002050TOR.html']",,"19,800",
"Wed, Feb 5, 2020",8:00p,Atlanta Hawks,127,Minnesota Timberwolves,120,"['Box Score', '/boxscores/202002050MIN.html']",,"10,779",
"Wed, Feb 5, 2020",8:00p,Cleveland Cavaliers,103,Oklahoma City Thunder,109,"['Box Score', '/boxscores/202002050OKC.html']",,"18,203",
"Wed, Feb 5, 2020",8:30p,Memphis Grizzlies,121,Dallas Mavericks,107,"['Box Score', '/boxscores/202002050DAL.html']",,"20,069",
"Wed, Feb 5, 2020",9:00p,Denver Nuggets,98,Utah Jazz,95,"['Box Score', '/boxscores/202002050UTA.html']",,"18,306",
"Wed, Feb 5, 2020",10:00p,Miami Heat,111,Los Angeles Clippers,128,"['Box Score', '/boxscores/202002050LAC.html']",,"19,068",
"Thu, Feb 6, 2020",7:30p,Orlando Magic,103,New York Knicks,105,"['Box Score', '/boxscores/202002060NYK.html']",,"18,895",
"Thu, Feb 6, 2020",8:00p,New Orleans Pelicans,125,Chicago Bulls,119,"['Box Score', '/boxscores/202002060CHI.html']",,"18,247",
"Thu, Feb 6, 2020",8:00p,Philadelphia 76ers,101,Milwaukee Bucks,112,"['Box Score', '/boxscores/202002060MIL.html']",,"17,928",
"Thu, Feb 6, 2020",10:00p,San Antonio Spurs,117,Portland Trail Blazers,125,"['Box Score', '/boxscores/202002060POR.html']",,"19,653",
"Thu, Feb 6, 2020",10:30p,Houston Rockets,121,Los Angeles Lakers,111,"['Box Score', '/boxscores/202002060LAL.html']",,"18,997",
"Fri, Feb 7, 2020",7:00p,Memphis Grizzlies,107,Philadelphia 76ers,119,"['Box Score', '/boxscores/202002070PHI.html']",,"20,779",
"Fri, Feb 7, 2020",7:00p,Dallas Mavericks,118,Washington Wizards,119,"['Box Score', '/boxscores/202002070WAS.html']",,"20,476",
"Fri, Feb 7, 2020",7:30p,Atlanta Hawks,107,Boston Celtics,112,"['Box Score', '/boxscores/202002070BOS.html']",,"19,156",
"Fri, Feb 7, 2020",8:00p,Toronto Raptors,115,Indiana Pacers,106,"['Box Score', '/boxscores/202002070IND.html']",,"17,028",
"Fri, Feb 7, 2020",8:00p,Detroit Pistons,101,Oklahoma City Thunder,108,"['Box Score', '/boxscores/202002070OKC.html']",,"18,203",
"Fri, Feb 7, 2020",9:00p,Houston Rockets,91,Phoenix Suns,127,"['Box Score', '/boxscores/202002070PHO.html']",,"17,043",
"Fri, Feb 7, 2020",10:00p,Miami Heat,97,Sacramento Kings,105,"['Box Score', '/boxscores/202002070SAC.html']",,"16,760",
"Fri, Feb 7, 2020",10:30p,Portland Trail Blazers,114,Utah Jazz,117,"['Box Score', '/boxscores/202002070UTA.html']",,"18,306",
"Sat, Feb 8, 2020",5:00p,Milwaukee Bucks,111,Orlando Magic,95,"['Box Score', '/boxscores/202002080ORL.html']",,"16,632",
"Sat, Feb 8, 2020",7:00p,Dallas Mavericks,116,Charlotte Hornets,100,"['Box Score', '/boxscores/202002080CHO.html']",,"19,370",
"Sat, Feb 8, 2020",7:00p,New York Knicks,95,Detroit Pistons,92,"['Box Score', '/boxscores/202002080DET.html']",,"15,980",
"Sat, Feb 8, 2020",7:30p,New Orleans Pelicans,124,Indiana Pacers,117,"['Box Score', '/boxscores/202002080IND.html']",,"17,923",
"Sat, Feb 8, 2020",7:30p,Brooklyn Nets,118,Toronto Raptors,119,"['Box Score', '/boxscores/202002080TOR.html']",,"19,800",
"Sat, Feb 8, 2020",8:00p,Los Angeles Clippers,115,Minnesota Timberwolves,142,"['Box Score', '/boxscores/202002080MIN.html']",,"18,978",
"Sat, Feb 8, 2020",8:30p,Los Angeles Lakers,125,Golden State Warriors,120,"['Box Score', '/boxscores/202002080GSW.html']",,"18,064",
"Sat, Feb 8, 2020",9:00p,Denver Nuggets,117,Phoenix Suns,108,"['Box Score', '/boxscores/202002080PHO.html']",,"16,843",
"Sat, Feb 8, 2020",10:00p,San Antonio Spurs,102,Sacramento Kings,122,"['Box Score', '/boxscores/202002080SAC.html']",,"16,756",
"Sun, Feb 9, 2020",3:30p,Boston Celtics,112,Oklahoma City Thunder,111,"['Box Score', '/boxscores/202002090OKC.html']",,"18,203",
"Sun, Feb 9, 2020",6:00p,New York Knicks,135,Atlanta Hawks,140,"['Box Score', '/boxscores/202002090ATL.html']",2OT,"16,309",
"Sun, Feb 9, 2020",6:00p,Chicago Bulls,111,Philadelphia 76ers,118,"['Box Score', '/boxscores/202002090PHI.html']",,"21,018",
"Sun, Feb 9, 2020",6:00p,Memphis Grizzlies,106,Washington Wizards,99,"['Box Score', '/boxscores/202002090WAS.html']",,"17,251",
"Sun, Feb 9, 2020",7:00p,Utah Jazz,114,Houston Rockets,113,"['Box Score', '/boxscores/202002090HOU.html']",,"18,055",
"Sun, Feb 9, 2020",7:30p,Los Angeles Clippers,133,Cleveland Cavaliers,92,"['Box Score', '/boxscores/202002090CLE.html']",,"17,240",
"Sun, Feb 9, 2020",9:00p,Miami Heat,109,Portland Trail Blazers,115,"['Box Score', '/boxscores/202002090POR.html']",,"19,726",
"Mon, Feb 10, 2020",7:00p,Charlotte Hornets,87,Detroit Pistons,76,"['Box Score', '/boxscores/202002100DET.html']",,"13,941",
"Mon, Feb 10, 2020",7:00p,Brooklyn Nets,106,Indiana Pacers,105,"['Box Score', '/boxscores/202002100IND.html']",,"16,761",
"Mon, Feb 10, 2020",7:00p,Atlanta Hawks,126,Orlando Magic,135,"['Box Score', '/boxscores/202002100ORL.html']",,"17,076",
"Mon, Feb 10, 2020",7:30p,Minnesota Timberwolves,126,Toronto Raptors,137,"['Box Score', '/boxscores/202002100TOR.html']",,"19,800",
"Mon, Feb 10, 2020",8:00p,Sacramento Kings,111,Milwaukee Bucks,123,"['Box Score', '/boxscores/202002100MIL.html']",,"17,463",
"Mon, Feb 10, 2020",8:30p,Utah Jazz,123,Dallas Mavericks,119,"['Box Score', '/boxscores/202002100DAL.html']",,"19,793",
"Mon, Feb 10, 2020",9:00p,San Antonio Spurs,120,Denver Nuggets,127,"['Box Score', '/boxscores/202002100DEN.html']",,"19,520",
"Mon, Feb 10, 2020",10:30p,Miami Heat,113,Golden State Warriors,101,"['Box Score', '/boxscores/202002100GSW.html']",,"18,064",
"Mon, Feb 10, 2020",10:30p,Phoenix Suns,100,Los Angeles Lakers,125,"['Box Score', '/boxscores/202002100LAL.html']",,"18,997",
"Tue, Feb 11, 2020",7:00p,Los Angeles Clippers,103,Philadelphia 76ers,110,"['Box Score', '/boxscores/202002110PHI.html']",,"20,730",
"Tue, Feb 11, 2020",7:00p,Chicago Bulls,114,Washington Wizards,126,"['Box Score', '/boxscores/202002110WAS.html']",,"15,135",
"Tue, Feb 11, 2020",8:00p,Portland Trail Blazers,117,New Orleans Pelicans,138,"['Box Score', '/boxscores/202002110NOP.html']",,"15,739",
"Tue, Feb 11, 2020",8:00p,San Antonio Spurs,114,Oklahoma City Thunder,106,"['Box Score', '/boxscores/202002110OKC.html']",,"18,203",
"Tue, Feb 11, 2020",9:30p,Boston Celtics,105,Houston Rockets,116,"['Box Score', '/boxscores/202002110HOU.html']",,"18,055",
"Wed, Feb 12, 2020",7:00p,Atlanta Hawks,105,Cleveland Cavaliers,127,"['Box Score', '/boxscores/202002120CLE.html']",,"16,200",
"Wed, Feb 12, 2020",7:00p,Detroit Pistons,112,Orlando Magic,116,"['Box Score', '/boxscores/202002120ORL.html']",OT,"16,607",
"Wed, Feb 12, 2020",7:30p,Toronto Raptors,91,Brooklyn Nets,101,"['Box Score', '/boxscores/202002120BRK.html']",,"15,823",
"Wed, Feb 12, 2020",7:30p,Milwaukee Bucks,111,Indiana Pacers,118,"['Box Score', '/boxscores/202002120IND.html']",,"17,018",
"Wed, Feb 12, 2020",7:30p,Washington Wizards,114,New York Knicks,96,"['Box Score', '/boxscores/202002120NYK.html']",,"18,835",
"Wed, Feb 12, 2020",8:00p,Portland Trail Blazers,104,Memphis Grizzlies,111,"['Box Score', '/boxscores/202002120MEM.html']",,"16,889",
"Wed, Feb 12, 2020",8:00p,Charlotte Hornets,115,Minnesota Timberwolves,108,"['Box Score', '/boxscores/202002120MIN.html']",,"18,978",
"Wed, Feb 12, 2020",8:30p,Sacramento Kings,111,Dallas Mavericks,130,"['Box Score', '/boxscores/202002120DAL.html']",,"19,842",
"Wed, Feb 12, 2020",9:00p,Golden State Warriors,106,Phoenix Suns,112,"['Box Score', '/boxscores/202002120PHO.html']",,"15,216",
"Wed, Feb 12, 2020",9:00p,Miami Heat,101,Utah Jazz,116,"['Box Score', '/boxscores/202002120UTA.html']",,"18,306",
"Wed, Feb 12, 2020",10:00p,Los Angeles Lakers,120,Denver Nuggets,116,"['Box Score', '/boxscores/202002120DEN.html']",OT,"19,860",
"Thu, Feb 13, 2020",8:00p,Los Angeles Clippers,133,Boston Celtics,141,"['Box Score', '/boxscores/202002130BOS.html']",2OT,"19,156",
"Thu, Feb 13, 2020",8:00p,Oklahoma City Thunder,123,New Orleans Pelicans,118,"['Box Score', '/boxscores/202002130NOP.html']",,"17,865",
"Thu, Feb 20, 2020",7:00p,Milwaukee Bucks,126,Detroit Pistons,106,"['Box Score', '/boxscores/202002200DET.html']",,"16,097",
"Thu, Feb 20, 2020",7:30p,Miami Heat,124,Atlanta Hawks,129,"['Box Score', '/boxscores/202002200ATL.html']",,"17,356",
"Thu, Feb 20, 2020",8:00p,Charlotte Hornets,103,Chicago Bulls,93,"['Box Score', '/boxscores/202002200CHI.html']",,"17,463",
"Thu, Feb 20, 2020",8:00p,Brooklyn Nets,104,Philadelphia 76ers,112,"['Box Score', '/boxscores/202002200PHI.html']",OT,"20,806",
"Thu, Feb 20, 2020",10:00p,Memphis Grizzlies,125,Sacramento Kings,129,"['Box Score', '/boxscores/202002200SAC.html']",,"17,078",
"Thu, Feb 20, 2020",10:30p,Houston Rockets,135,Golden State Warriors,105,"['Box Score', '/boxscores/202002200GSW.html']",,"18,064",
"Fri, Feb 21, 2020",7:00p,Dallas Mavericks,122,Orlando Magic,106,"['Box Score', '/boxscores/202002210ORL.html']",,"18,846",
"Fri, Feb 21, 2020",7:00p,Cleveland Cavaliers,113,Washington Wizards,108,"['Box Score', '/boxscores/202002210WAS.html']",,"18,895",
"Fri, Feb 21, 2020",7:30p,Indiana Pacers,106,New York Knicks,98,"['Box Score', '/boxscores/202002210NYK.html']",,"19,812",
"Fri, Feb 21, 2020",7:30p,Phoenix Suns,101,Toronto Raptors,118,"['Box Score', '/boxscores/202002210TOR.html']",,"19,800",
"Fri, Feb 21, 2020",8:00p,Boston Celtics,127,Minnesota Timberwolves,117,"['Box Score', '/boxscores/202002210MIN.html']",,"18,978",
"Fri, Feb 21, 2020",8:00p,Denver Nuggets,101,Oklahoma City Thunder,113,"['Box Score', '/boxscores/202002210OKC.html']",,"18,203",
"Fri, Feb 21, 2020",9:00p,San Antonio Spurs,113,Utah Jazz,104,"['Box Score', '/boxscores/202002210UTA.html']",,"18,306",
"Fri, Feb 21, 2020",10:30p,Memphis Grizzlies,105,Los Angeles Lakers,117,"['Box Score', '/boxscores/202002210LAL.html']",,"18,997",
"Fri, Feb 21, 2020",10:30p,New Orleans Pelicans,128,Portland Trail Blazers,115,"['Box Score', '/boxscores/202002210POR.html']",,"19,946",
"Sat, Feb 22, 2020",3:30p,Sacramento Kings,112,Los Angeles Clippers,103,"['Box Score', '/boxscores/202002220LAC.html']",,"19,068",
"Sat, Feb 22, 2020",7:00p,Brooklyn Nets,115,Charlotte Hornets,86,"['Box Score', '/boxscores/202002220CHO.html']",,"19,079",
"Sat, Feb 22, 2020",7:30p,Dallas Mavericks,107,Atlanta Hawks,111,"['Box Score', '/boxscores/202002220ATL.html']",,"17,050",
"Sat, Feb 22, 2020",8:00p,Phoenix Suns,112,Chicago Bulls,104,"['Box Score', '/boxscores/202002220CHI.html']",,"20,506",
"Sat, Feb 22, 2020",8:00p,Cleveland Cavaliers,105,Miami Heat,124,"['Box Score', '/boxscores/202002220MIA.html']",,"19,754",
"Sat, Feb 22, 2020",8:30p,Philadelphia 76ers,98,Milwaukee Bucks,119,"['Box Score', '/boxscores/202002220MIL.html']",,"18,290",
"Sat, Feb 22, 2020",9:00p,Houston Rockets,120,Utah Jazz,110,"['Box Score', '/boxscores/202002220UTA.html']",,"18,306",
"Sun, Feb 23, 2020",3:30p,Boston Celtics,112,Los Angeles Lakers,114,"['Box Score', '/boxscores/202002230LAL.html']",,"18,997",
"Sun, Feb 23, 2020",6:00p,Minnesota Timberwolves,116,Denver Nuggets,128,"['Box Score', '/boxscores/202002230DEN.html']",,"19,626",
"Sun, Feb 23, 2020",6:00p,Indiana Pacers,81,Toronto Raptors,127,"['Box Score', '/boxscores/202002230TOR.html']",,"19,800",
"Sun, Feb 23, 2020",7:00p,Washington Wizards,117,Chicago Bulls,126,"['Box Score', '/boxscores/202002230CHI.html']",,"18,024",
"Sun, Feb 23, 2020",7:00p,San Antonio Spurs,103,Oklahoma City Thunder,131,"['Box Score', '/boxscores/202002230OKC.html']",,"18,203",
"Sun, Feb 23, 2020",8:30p,New Orleans Pelicans,115,Golden State Warriors,101,"['Box Score', '/boxscores/202002230GSW.html']",,"18,064",
"Sun, Feb 23, 2020",9:00p,Detroit Pistons,104,Portland Trail Blazers,107,"['Box Score', '/boxscores/202002230POR.html']",,"19,393",
"Mon, Feb 24, 2020",7:00p,Miami Heat,119,Cleveland Cavaliers,125,"['Box Score', '/boxscores/202002240CLE.html']",OT,"17,336",
"Mon, Feb 24, 2020",7:00p,Atlanta Hawks,112,Philadelphia 76ers,129,"['Box Score', '/boxscores/202002240PHI.html']",,"20,836",
"Mon, Feb 24, 2020",7:00p,Milwaukee Bucks,137,Washington Wizards,134,"['Box Score', '/boxscores/202002240WAS.html']",OT,"16,580",
"Mon, Feb 24, 2020",7:30p,Orlando Magic,115,Brooklyn Nets,113,"['Box Score', '/boxscores/202002240BRK.html']",,"16,162",
"Mon, Feb 24, 2020",8:00p,New York Knicks,112,Houston Rockets,123,"['Box Score', '/boxscores/202002240HOU.html']",,"18,055",
"Mon, Feb 24, 2020",8:30p,Minnesota Timberwolves,123,Dallas Mavericks,139,"['Box Score', '/boxscores/202002240DAL.html']",,"19,936",
"Mon, Feb 24, 2020",9:00p,Phoenix Suns,131,Utah Jazz,111,"['Box Score', '/boxscores/202002240UTA.html']",,"18,306",
"Mon, Feb 24, 2020",10:30p,Memphis Grizzlies,97,Los Angeles Clippers,124,"['Box Score', '/boxscores/202002240LAC.html']",,"19,068",
"Tue, Feb 25, 2020",7:00p,Charlotte Hornets,80,Indiana Pacers,119,"['Box Score', '/boxscores/202002250IND.html']",,"16,088",
"Tue, Feb 25, 2020",7:30p,Milwaukee Bucks,108,Toronto Raptors,97,"['Box Score', '/boxscores/202002250TOR.html']",,"19,993",
"Tue, Feb 25, 2020",8:00p,Oklahoma City Thunder,124,Chicago Bulls,122,"['Box Score', '/boxscores/202002250CHI.html']",,"16,911",
"Tue, Feb 25, 2020",9:00p,Detroit Pistons,98,Denver Nuggets,115,"['Box Score', '/boxscores/202002250DEN.html']",,"19,143",
"Tue, Feb 25, 2020",10:00p,New Orleans Pelicans,109,Los Angeles Lakers,118,"['Box Score', '/boxscores/202002250LAL.html']",,"18,997",
"Tue, Feb 25, 2020",10:00p,Boston Celtics,118,Portland Trail Blazers,106,"['Box Score', '/boxscores/202002250POR.html']",,"19,460",
"Tue, Feb 25, 2020",10:30p,Sacramento Kings,112,Golden State Warriors,94,"['Box Score', '/boxscores/202002250GSW.html']",,"18,064",
"Wed, Feb 26, 2020",7:00p,New York Knicks,101,Charlotte Hornets,107,"['Box Score', '/boxscores/202002260CHO.html']",,"13,152",
"Wed, Feb 26, 2020",7:00p,Philadelphia 76ers,94,Cleveland Cavaliers,108,"['Box Score', '/boxscores/202002260CLE.html']",,"16,332",
"Wed, Feb 26, 2020",7:00p,Brooklyn Nets,106,Washington Wizards,110,"['Box Score', '/boxscores/202002260WAS.html']",,"15,021",
"Wed, Feb 26, 2020",7:30p,Orlando Magic,130,Atlanta Hawks,120,"['Box Score', '/boxscores/202002260ATL.html']",,"14,967",
"Wed, Feb 26, 2020",7:30p,Minnesota Timberwolves,129,Miami Heat,126,"['Box Score', '/boxscores/202002260MIA.html']",,"19,600",
"Wed, Feb 26, 2020",8:00p,Memphis Grizzlies,112,Houston Rockets,140,"['Box Score', '/boxscores/202002260HOU.html']",,"18,055",
"Wed, Feb 26, 2020",8:30p,Dallas Mavericks,109,San Antonio Spurs,103,"['Box Score', '/boxscores/202002260SAS.html']",,"18,354",
"Wed, Feb 26, 2020",9:00p,Los Angeles Clippers,102,Phoenix Suns,92,"['Box Score', '/boxscores/202002260PHO.html']",,"15,157",
"Wed, Feb 26, 2020",10:30p,Boston Celtics,114,Utah Jazz,103,"['Box Score', '/boxscores/202002260UTA.html']",,"18,306",
"Thu, Feb 27, 2020",7:00p,New York Knicks,106,Philadelphia 76ers,115,"['Box Score', '/boxscores/202002270PHI.html']",,"20,175",
"Thu, Feb 27, 2020",8:00p,Portland Trail Blazers,100,Indiana Pacers,106,"['Box Score', '/boxscores/202002270IND.html']",,"16,872",
"Thu, Feb 27, 2020",8:00p,Sacramento Kings,108,Oklahoma City Thunder,112,"['Box Score', '/boxscores/202002270OKC.html']",,"18,203",
"Thu, Feb 27, 2020",10:30p,Los Angeles Lakers,116,Golden State Warriors,86,"['Box Score', '/boxscores/202002270GSW.html']",,"18,064",
"Fri, Feb 28, 2020",7:00p,Minnesota Timberwolves,125,Orlando Magic,136,"['Box Score', '/boxscores/202002280ORL.html']",,"18,846",
"Fri, Feb 28, 2020",7:30p,Brooklyn Nets,118,Atlanta Hawks,141,"['Box Score', '/boxscores/202002280ATL.html']",,"17,034",
"Fri, Feb 28, 2020",7:30p,Charlotte Hornets,99,Toronto Raptors,96,"['Box Score', '/boxscores/202002280TOR.html']",,"19,800",
"Fri, Feb 28, 2020",8:00p,Sacramento Kings,104,Memphis Grizzlies,101,"['Box Score', '/boxscores/202002280MEM.html']",,"17,794",
"Fri, Feb 28, 2020",8:00p,Dallas Mavericks,118,Miami Heat,126,"['Box Score', '/boxscores/202002280MIA.html']",,"19,704",
"Fri, Feb 28, 2020",8:00p,Oklahoma City Thunder,86,Milwaukee Bucks,133,"['Box Score', '/boxscores/202002280MIL.html']",,"18,412",
"Fri, Feb 28, 2020",8:00p,Cleveland Cavaliers,104,New Orleans Pelicans,116,"['Box Score', '/boxscores/202002280NOP.html']",,"18,304",
"Fri, Feb 28, 2020",9:00p,Detroit Pistons,113,Phoenix Suns,111,"['Box Score', '/boxscores/202002280PHO.html']",,"17,142",
"Fri, Feb 28, 2020",9:00p,Washington Wizards,119,Utah Jazz,129,"['Box Score', '/boxscores/202002280UTA.html']",,"18,306",
"Fri, Feb 28, 2020",10:30p,Denver Nuggets,103,Los Angeles Clippers,132,"['Box Score', '/boxscores/202002280LAC.html']",,"19,068",
"Sat, Feb 29, 2020",5:00p,Chicago Bulls,115,New York Knicks,125,"['Box Score', '/boxscores/202002290NYK.html']",,"19,812",
"Sat, Feb 29, 2020",7:30p,Portland Trail Blazers,117,Atlanta Hawks,129,"['Box Score', '/boxscores/202002290ATL.html']",,"17,765",
"Sat, Feb 29, 2020",7:30p,Brooklyn Nets,113,Miami Heat,116,"['Box Score', '/boxscores/202002290MIA.html']",,"19,600",
"Sat, Feb 29, 2020",8:00p,Indiana Pacers,113,Cleveland Cavaliers,104,"['Box Score', '/boxscores/202002290CLE.html']",,"19,432",
"Sat, Feb 29, 2020",8:00p,Los Angeles Lakers,88,Memphis Grizzlies,105,"['Box Score', '/boxscores/202002290MEM.html']",,"17,794",
"Sat, Feb 29, 2020",8:30p,Houston Rockets,111,Boston Celtics,110,"['Box Score', '/boxscores/202002290BOS.html']",OT,"19,156",
"Sat, Feb 29, 2020",8:30p,Orlando Magic,113,San Antonio Spurs,114,"['Box Score', '/boxscores/202002290SAS.html']",,"18,354",
"Sat, Feb 29, 2020",9:00p,Golden State Warriors,115,Phoenix Suns,99,"['Box Score', '/boxscores/202002290PHO.html']",,"16,395",
"Sun, Mar 1, 2020",1:00p,Milwaukee Bucks,93,Charlotte Hornets,85,"['Box Score', '/boxscores/202003010CHO.html']",,"19,149",
"Sun, Mar 1, 2020",3:30p,Philadelphia 76ers,130,Los Angeles Clippers,136,"['Box Score', '/boxscores/202003010LAC.html']",,"19,068",
"Sun, Mar 1, 2020",3:30p,Dallas Mavericks,111,Minnesota Timberwolves,91,"['Box Score', '/boxscores/202003010MIN.html']",,"18,058",
"Sun, Mar 1, 2020",6:00p,Toronto Raptors,118,Denver Nuggets,133,"['Box Score', '/boxscores/202003010DEN.html']",,"19,777",
"Sun, Mar 1, 2020",6:00p,Detroit Pistons,100,Sacramento Kings,106,"['Box Score', '/boxscores/202003010SAC.html']",,"17,499",
"Sun, Mar 1, 2020",8:00p,Los Angeles Lakers,122,New Orleans Pelicans,114,"['Box Score', '/boxscores/202003010NOP.html']",,"18,547",
"Sun, Mar 1, 2020",8:30p,Washington Wizards,124,Golden State Warriors,110,"['Box Score', '/boxscores/202003010GSW.html']",,"18,064",
"Mon, Mar 2, 2020",7:00p,Utah Jazz,126,Cleveland Cavaliers,113,"['Box Score', '/boxscores/202003020CLE.html']",,"15,453",
"Mon, Mar 2, 2020",7:00p,Houston Rockets,123,New York Knicks,125,"['Box Score', '/boxscores/202003020NYK.html']",,"18,142",
"Mon, Mar 2, 2020",7:00p,Portland Trail Blazers,130,Orlando Magic,107,"['Box Score', '/boxscores/202003020ORL.html']",,"18,078",
"Mon, Mar 2, 2020",7:30p,Memphis Grizzlies,127,Atlanta Hawks,88,"['Box Score', '/boxscores/202003020ATL.html']",,"16,207",
"Mon, Mar 2, 2020",7:30p,Milwaukee Bucks,89,Miami Heat,105,"['Box Score', '/boxscores/202003020MIA.html']",,"19,600",
"Mon, Mar 2, 2020",8:00p,Dallas Mavericks,107,Chicago Bulls,109,"['Box Score', '/boxscores/202003020CHI.html']",,"18,407",
"Mon, Mar 2, 2020",8:30p,Indiana Pacers,116,San Antonio Spurs,111,"['Box Score', '/boxscores/202003020SAS.html']",,"17,635",
"Tue, Mar 3, 2020",7:00p,San Antonio Spurs,104,Charlotte Hornets,103,"['Box Score', '/boxscores/202003030CHO.html']",,"12,008",
"Tue, Mar 3, 2020",7:30p,Brooklyn Nets,129,Boston Celtics,120,"['Box Score', '/boxscores/202003030BOS.html']",OT,"19,156",
"Tue, Mar 3, 2020",8:00p,Minnesota Timberwolves,139,New Orleans Pelicans,134,"['Box Score', '/boxscores/202003030NOP.html']",,"15,264",
"Tue, Mar 3, 2020",8:00p,Los Angeles Clippers,109,Oklahoma City Thunder,94,"['Box Score', '/boxscores/202003030OKC.html']",,"18,203",
"Tue, Mar 3, 2020",9:00p,Golden State Warriors,116,Denver Nuggets,100,"['Box Score', '/boxscores/202003030DEN.html']",,"19,520",
"Tue, Mar 3, 2020",9:00p,Toronto Raptors,123,Phoenix Suns,114,"['Box Score', '/boxscores/202003030PHO.html']",,"15,553",
"Tue, Mar 3, 2020",10:00p,Philadelphia 76ers,107,Los Angeles Lakers,120,"['Box Score', '/boxscores/202003030LAL.html']",,"18,997",
"Tue, Mar 3, 2020",10:00p,Washington Wizards,126,Sacramento Kings,133,"['Box Score', '/boxscores/202003030SAC.html']",,"16,419",
"Wed, Mar 4, 2020",7:00p,Boston Celtics,112,Cleveland Cavaliers,106,"['Box Score', '/boxscores/202003040CLE.html']",,"16,897",
"Wed, Mar 4, 2020",7:00p,Oklahoma City Thunder,114,Detroit Pistons,107,"['Box Score', '/boxscores/202003040DET.html']",,"15,138",
"Wed, Mar 4, 2020",7:00p,Indiana Pacers,100,Milwaukee Bucks,119,"['Box Score', '/boxscores/202003040MIL.html']",,"17,695",
"Wed, Mar 4, 2020",7:30p,Memphis Grizzlies,118,Brooklyn Nets,79,"['Box Score', '/boxscores/202003040BRK.html']",,"16,941",
"Wed, Mar 4, 2020",7:30p,Utah Jazz,112,New York Knicks,104,"['Box Score', '/boxscores/202003040NYK.html']",,"16,588",
"Wed, Mar 4, 2020",7:30p,Orlando Magic,113,Miami Heat,116,"['Box Score', '/boxscores/202003040MIA.html']",,"19,600",
"Wed, Mar 4, 2020",8:00p,Chicago Bulls,108,Minnesota Timberwolves,115,"['Box Score', '/boxscores/202003040MIN.html']",,"13,392",
"Wed, Mar 4, 2020",9:30p,New Orleans Pelicans,123,Dallas Mavericks,127,"['Box Score', '/boxscores/202003040DAL.html']",OT,"20,459",
"Wed, Mar 4, 2020",10:00p,Washington Wizards,104,Portland Trail Blazers,125,"['Box Score', '/boxscores/202003040POR.html']",,"19,393",
"Thu, Mar 5, 2020",7:00p,Denver Nuggets,114,Charlotte Hornets,112,"['Box Score', '/boxscores/202003050CHO.html']",,"13,311",
"Thu, Mar 5, 2020",8:00p,Los Angeles Clippers,120,Houston Rockets,105,"['Box Score', '/boxscores/202003050HOU.html']",,"18,055",
"Thu, Mar 5, 2020",10:00p,Philadelphia 76ers,125,Sacramento Kings,108,"['Box Score', '/boxscores/202003050SAC.html']",,"15,485",
"Thu, Mar 5, 2020",10:30p,Toronto Raptors,121,Golden State Warriors,113,"['Box Score', '/boxscores/202003050GSW.html']",,"18,064",
"Fri, Mar 6, 2020",7:00p,Atlanta Hawks,112,Washington Wizards,118,"['Box Score', '/boxscores/202003060WAS.html']",,"17,856",
"Fri, Mar 6, 2020",7:30p,San Antonio Spurs,120,Brooklyn Nets,139,"['Box Score', '/boxscores/202003060BRK.html']",,"16,277",
